rank,prev_rank,name,league,off,def,spi
1,2,Liverpool,Barclays Premier League,3.02,0.2,94.31
2,3,Manchester City,Barclays Premier League,3.25,0.29,94.28
3,1,Bayern Munich,German Bundesliga,3.47,0.39,94.23
4,4,Paris Saint-Germain,French Ligue 1,3.14,0.53,90.58
5,5,Real Madrid,Spanish Primera Division,2.69,0.32,90.5
6,6,Barcelona,Spanish Primera Division,2.84,0.49,88.96
7,7,Chelsea,Barclays Premier League,2.49,0.48,85.95
8,8,Atletico Madrid,Spanish Primera Division,2.07,0.28,85.4
9,9,RB Leipzig,German Bundesliga,2.65,0.61,85.02
10,11,Borussia Dortmund,German Bundesliga,2.72,0.69,84.39
11,10,Juventus,Italy Serie A,2.48,0.56,84.23
12,12,Atalanta,Italy Serie A,2.57,0.75,81.53
13,13,Leicester City,Barclays Premier League,2.28,0.58,81.44
14,14,Manchester United,Barclays Premier League,2.17,0.54,80.94
15,18,Getafe,Spanish Primera Division,1.85,0.35,80.89
16,15,Sevilla FC,Spanish Primera Division,2.04,0.47,80.79
17,16,Bayer Leverkusen,German Bundesliga,2.33,0.65,80.63
18,21,Internazionale,Italy Serie A,2.25,0.63,79.99
19,17,Tottenham Hotspur,Barclays Premier League,2.27,0.65,79.88
20,22,Wolverhampton,Barclays Premier League,2.04,0.51,79.65
21,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.07,79.34
22,20,Ajax,Dutch Eredivisie,2.77,1.01,79.13
23,24,Everton,Barclays Premier League,2.1,0.58,78.85
24,26,Napoli,Italy Serie A,2.18,0.73,76.71
25,27,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
26,31,FC Porto,Portuguese Liga,2.0,0.62,76.56
27,23,Benfica,Portuguese Liga,2.19,0.76,76.3
28,25,AS Roma,Italy Serie A,2.21,0.78,76.24
29,29,Lazio,Italy Serie A,2.18,0.75,76.23
30,28,Real Sociedad,Spanish Primera Division,2.1,0.74,75.4
31,30,Arsenal,Barclays Premier League,2.08,0.73,75.26
32,33,Borussia Monchengladbach,German Bundesliga,2.18,0.8,75.22
33,35,Villarreal,Spanish Primera Division,2.19,0.85,74.33
34,32,Olympiacos,Greek Super League,2.07,0.77,74.3
35,36,Sheffield United,Barclays Premier League,1.76,0.57,73.76
36,34,Athletic Bilbao,Spanish Primera Division,1.73,0.59,72.78
37,38,AC Milan,Italy Serie A,1.91,0.73,72.48
38,41,Real Betis,Spanish Primera Division,2.01,0.8,72.44
39,39,Club Brugge,Belgian Jupiler League,1.97,0.78,72.34
40,47,Eintracht Frankfurt,German Bundesliga,2.06,0.86,72.09
41,45,VfL Wolfsburg,German Bundesliga,1.92,0.76,72.0
42,43,Flamengo,Brasileiro Série A,2.08,0.88,71.72
43,37,Lyon,French Ligue 1,1.82,0.69,71.72
44,42,Southampton,Barclays Premier League,1.97,0.82,71.53
45,44,Osasuna,Spanish Primera Division,1.88,0.76,71.2
46,40,Watford,Barclays Premier League,1.91,0.79,71.11
47,46,Valencia,Spanish Primera Division,2.01,0.86,71.1
48,48,Eibar,Spanish Primera Division,1.74,0.67,70.81
49,50,Brighton and Hove Albion,Barclays Premier League,1.92,0.81,70.61
50,51,Marseille,French Ligue 1,1.71,0.66,70.57
51,49,TSG Hoffenheim,German Bundesliga,2.17,1.02,70.29
52,52,Shakhtar Donetsk,UEFA Europa League,2.13,1.01,69.87
53,60,Celtic,Scottish Premiership,2.06,0.96,69.57
54,56,Espanyol,Spanish Primera Division,1.85,0.82,69.22
55,57,Schalke 04,German Bundesliga,1.92,0.88,69.08
56,54,Burnley,Barclays Premier League,1.79,0.78,69.06
57,55,Crystal Palace,Barclays Premier League,1.72,0.76,68.27
58,61,Celta Vigo,Spanish Primera Division,1.77,0.81,67.98
59,80,Brentford,English League Championship,1.73,0.78,67.91
60,62,FC Krasnodar,Russian Premier Liga,1.77,0.84,67.26
61,68,Lille,French Ligue 1,1.69,0.77,67.24
62,64,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
63,58,Fiorentina,Italy Serie A,1.77,0.85,66.96
64,84,FC Cologne,German Bundesliga,1.89,0.95,66.81
65,77,Leganes,Spanish Primera Division,1.65,0.76,66.7
66,79,AZ,Dutch Eredivisie,2.01,1.06,66.53
67,66,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
68,53,AS Monaco,French Ligue 1,1.94,1.0,66.43
69,63,Granada,Spanish Primera Division,1.64,0.79,66.01
70,75,Alavés,Spanish Primera Division,1.69,0.83,65.8
71,59,PAOK Salonika,Greek Super League,1.84,0.96,65.7
72,81,Braga,Portuguese Liga,1.81,0.94,65.46
73,72,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
74,73,LASK Linz,Austrian T-Mobile Bundesliga,1.9,1.02,65.39
75,65,Basel,Swiss Raiffeisen Super League,1.98,1.09,65.33
76,71,Hertha Berlin,German Bundesliga,1.77,0.92,65.32
77,78,Santos,Brasileiro Série A,1.6,0.78,65.25
78,76,Leeds United,English League Championship,1.81,0.96,65.02
79,70,West Ham United,Barclays Premier League,1.9,1.04,64.85
80,86,FC Augsburg,German Bundesliga,1.94,1.07,64.83
81,82,River Plate,Argentina Primera Division,1.74,0.92,64.72
82,88,Bologna,Italy Serie A,1.83,1.01,64.44
83,87,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
84,91,Stade Rennes,French Ligue 1,1.55,0.79,64.13
85,69,Rangers,Scottish Premiership,1.81,1.0,64.09
86,67,Montpellier,French Ligue 1,1.55,0.8,63.62
87,83,1. FC Union Berlin,German Bundesliga,1.7,0.94,63.51
88,92,AFC Bournemouth,Barclays Premier League,1.76,0.99,63.46
89,85,Angers,French Ligue 1,1.5,0.77,63.46
90,74,Young Boys,Swiss Raiffeisen Super League,2.07,1.25,63.34
91,93,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
92,89,Sporting CP,Portuguese Liga,1.64,0.9,63.19
93,103,Verona,Italy Serie A,1.66,0.92,63.0
94,94,Werder Bremen,German Bundesliga,1.86,1.09,62.85
95,109,Real Valladolid,Spanish Primera Division,1.51,0.8,62.74
96,96,Grêmio,Brasileiro Série A,1.65,0.93,62.69
97,90,Strasbourg,French Ligue 1,1.58,0.87,62.69
98,110,KAA Gent,Belgian Jupiler League,1.83,1.08,62.65
99,98,Sampdoria,Italy Serie A,1.66,0.94,62.54
100,99,Nantes,French Ligue 1,1.5,0.82,62.2
101,100,Levante,Spanish Primera Division,1.92,1.18,62.18
102,104,Mainz,German Bundesliga,1.95,1.2,62.08
103,101,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
104,105,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
105,102,Aston Villa,Barclays Premier League,1.88,1.16,61.75
106,108,Galatasaray,Turkish Turkcell Super Lig,1.78,1.07,61.73
107,115,Norwich City,Barclays Premier League,1.72,1.03,61.71
108,97,Newcastle,Barclays Premier League,1.63,0.95,61.49
109,107,PSV,Dutch Eredivisie,1.91,1.21,61.21
110,121,Reims,French Ligue 1,1.39,0.77,60.97
111,95,SC Freiburg,German Bundesliga,1.83,1.17,60.49
112,114,Ludogorets,UEFA Europa League,1.69,1.05,60.46
113,117,Trabzonspor,Turkish Turkcell Super Lig,1.84,1.18,60.37
114,123,Sassuolo,Italy Serie A,1.78,1.14,60.29
115,118,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.68,1.06,60.06
116,116,FC Midtjylland,Danish SAS-Ligaen,1.69,1.06,60.02
117,113,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.16,59.98
118,106,Malmo FF,Swedish Allsvenskan,1.64,1.03,59.94
119,126,Feyenoord,Dutch Eredivisie,1.95,1.31,59.83
120,111,Mallorca,Spanish Primera Division,1.72,1.11,59.61
121,120,Bordeaux,French Ligue 1,1.39,0.83,59.31
122,122,FC Copenhagen,Danish SAS-Ligaen,1.71,1.13,59.08
123,130,Nice,French Ligue 1,1.62,1.04,59.06
124,125,Guimaraes,Portuguese Liga,1.52,0.97,58.75
125,124,Rapid Vienna,Austrian T-Mobile Bundesliga,1.81,1.24,58.64
126,112,Monterrey,Mexican Primera Division Torneo Clausura,1.67,1.12,58.46
127,134,Boca Juniors,Argentina Primera Division,1.43,0.9,58.4
128,128,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
129,129,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
130,131,Apoel Nicosia,UEFA Europa League,1.63,1.09,58.12
131,132,Internacional,Brasileiro Série A,1.49,0.97,58.03
132,143,Genoa,Italy Serie A,1.7,1.17,57.98
133,133,Lokomotiv Moscow,Russian Premier Liga,1.64,1.11,57.92
134,127,Cagliari,Italy Serie A,1.76,1.22,57.86
135,136,Parma,Italy Serie A,1.63,1.11,57.85
136,135,Los Angeles FC,Major League Soccer,1.98,1.43,57.68
137,142,West Bromwich Albion,English League Championship,1.56,1.06,57.18
138,140,São Paulo,Brasileiro Série A,1.32,0.85,57.09
139,141,St Etienne,French Ligue 1,1.42,0.96,56.85
140,152,St Gallen,Swiss Raiffeisen Super League,1.96,1.46,56.69
141,119,Club América,Mexican Primera Division Torneo Clausura,1.59,1.12,56.58
142,145,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
143,137,Fulham,English League Championship,1.57,1.11,56.3
144,146,Rostov,Russian Premier Liga,1.54,1.09,56.16
145,144,SC Paderborn,German Bundesliga,1.69,1.25,55.87
146,150,Fortuna Düsseldorf,German Bundesliga,1.66,1.22,55.74
147,149,Dijon FCO,French Ligue 1,1.4,0.98,55.69
148,151,FC Arsenal Tula,Russian Premier Liga,1.4,0.99,55.46
149,147,Udinese,Italy Serie A,1.56,1.15,55.22
150,138,Torino,Italy Serie A,1.59,1.18,55.09
151,157,AEK Athens,Greek Super League,1.41,1.01,55.02
152,148,Tigres UANL,Mexican Primera Division Torneo Clausura,1.45,1.06,54.81
153,158,Cruz Azul,Mexican Primera Division Torneo Clausura,1.55,1.17,54.54
154,161,Besiktas,Turkish Turkcell Super Lig,1.73,1.34,54.48
155,156,Brest,French Ligue 1,1.54,1.17,54.42
156,165,Metz,French Ligue 1,1.39,1.03,54.4
157,159,Ferencvaros,UEFA Europa League,1.59,1.22,54.14
158,184,Nimes,French Ligue 1,1.44,1.09,53.96
159,162,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.65,1.3,53.78
160,153,Molde,Norwegian Tippeligaen,1.82,1.47,53.66
161,163,Yokohama F. Marinos,Japanese J League,1.76,1.42,53.62
162,164,Atletico Mineiro,Brasileiro Série A,1.42,1.08,53.53
163,166,Genk,Belgian Jupiler League,1.69,1.36,53.46
164,160,Spal,Italy Serie A,1.52,1.19,53.34
165,139,Hammarby,Swedish Allsvenskan,1.89,1.56,53.14
166,154,Stoke City,English League Championship,1.35,1.04,53.1
167,167,Spartak Moscow,Russian Premier Liga,1.29,0.98,53.0
168,168,Fluminense,Brasileiro Série A,1.35,1.04,52.91
169,169,Corinthians,Brasileiro Série A,1.26,0.96,52.88
170,173,Alanyaspor,Turkish Turkcell Super Lig,1.52,1.22,52.77
171,172,FK Partizan Belgrade,UEFA Europa League,1.51,1.21,52.7
172,176,FK Qarabag,UEFA Europa League,1.44,1.16,52.29
